"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/user-guide/TOC.md","","","","","",""
"help/user-guide/aem-screens-introduction.md","What is AEM Screens?","This page serves as an introduction to AEM Screens - a Digital Signage Solution that allows you to publish dynamic and interactive digital experiences and interactions involving different types of screens in conjunction with a comprehensive digital marketing platform. It provides an overview of the Screens architecture with various roles involved in the project development.","","","",""
"help/user-guide/kickstart-for-aem-screens.md","Kickstart Guide","Follow this page to create a demo AEM Screens project. It helps you create a digital signage experience starting from installation and setting up a new project to viewing your content in AEM Screens player.","","","",""
"help/user-guide/screens-glossary.md","Glossary","Follow this page to understand the key terms associated with AEM Screens.","","","",""
"help/user-guide/project-roles-responsibilities.md","""Part 1: Project Roles and Responsibilities""","Follow this tutorial to better understand roles, responsibilities and time lines required during the sales and project life cycles for a digital signage project.","","","",""
"help/user-guide/project-considerations.md","""Part 2: Considerations as Projects are Scoped""","Follow this tutorial to learn about the content strategy, I/O layers, asset types, audience segmentation, day parts, business operations requirements, and site readiness considerations.","","","",""
"help/user-guide/testing-pocs-pilots-rollouts.md","""Part 3: Testing, POCs, Pilots & Rollouts""","Follow this tutorial to learn the key terms involved in an overall project plan such as project cycle, actions surrounding hardware testing, Proof Of Concept, pilots and rollouts.","","","",""
"help/user-guide/project-management-and-deployment.md","""Part 4: Project Management and Deployment""","Follow this tutorial to learn about project management and deployment preparation (project pre-production, project initiation, project progression). Additionally, get to know how the project scope and schedule is defined along with gathering information on vendor, internal labor, and cut-sheets.","","","",""
"help/user-guide/support-considerations.md","""Part 5: Support Considerations""","Follow this tutorial to learn how hardware, software and connectivity issues are addressed. Explore cost estimations and frameworks for onsite support. Additionally learn how SLA parameters, operational budgets, and NOC handoffs are managed.","","","",""
"help/user-guide/configuring-screens-introduction.md","Configuring and Deploying AEM Screens","The AEM Screens player is available for Android, Chrome OS, iOS, and Windows. This page describes the configuration and deployment of AEM Screens and also summarizes the h/w selection guidelines for player device.","","","",""
"help/user-guide/dispatcher-configurations-aem-screens.md","Dispatcher Configurations for AEM Screens","This page highlights guidelines for configuring dispatcher for an AEM Screens project.","","","",""
"help/user-guide/installing-screens-player.md","Installing Screens Player","Installing Screens Player","","","",""
"help/user-guide/working-with-screens-player.md","Working with AEM Screens Player","Follow this page to learn about Screens Player. It also explains the Admin UI and the Channel Switcher.","","","",""
"help/user-guide/device-registration.md","Device Registration","This page describes the device registration process in an AEM Screens project.","","","",""
"help/user-guide/setting-up-acls.md","Setting up ACLs","Follow this page to learn how to segregate projects using ACLs so that each individual or team handles their own project.","","","",""
"help/user-guide/security-checklist.md","Security Checklist","The page describes Security Checklist","","","",""
"help/user-guide/smartsync.md","Transitioning from ContentSync to SmartSync","Follow this page to learn about SmartSync feature and how you can transition from ContentSync to SmartSync.","","","",""
"help/user-guide/project-importer.md","New Project Importer from File","This functionality allows you to bulk-import a set of locations from a CSV/XLS spreadsheet to your AEM Screens project.","","","",""
"help/user-guide/replicating-data-triggers.md","Replicate data-triggers to publish servers","Replicate data-triggers to publish server.","","","",""
"help/user-guide/implementing-chrome-os-player.md","Implementing Chrome OS Player","Follow  this page to learn about the implementation of the Chrome OS Player using the Chrome Management Console.","","","",""
"help/user-guide/using-chrome-player-as-an-extension.md","Using Chrome Player as an Extension","null","","","",""
"help/user-guide/implementing-android-player.md","Implementing Android Player","Follow this page to learn implementation of Android Watchdog, a solution to recover the player from crashes.","","","",""
"help/user-guide/implementing-windows-player.md","Implementing Windows 10 Player","Follow this page to learn about configuring AEM Screens Windows 10 player.","","","",""
"help/user-guide/tizen-player.md","Tizen Player","This page describes the installation and working of Tizen Player.","","","",""
"help/user-guide/author-publish-architecture-overview.md","Author and Publish Architectural Overview","AEM Screens architecture resembles a traditional AEM Sites architecture. Content is authored on an AEM author instance and then forward-replicated to multiple publish instances. Follow this page to learn more on author and publish architectural overview.","","","",""
"help/user-guide/author-and-publish.md","Configuring Author and Publish in AEM Screens","AEM Screens architecture resembles a traditional AEM Sites architecture. Content is authored on an AEM author instance and then forward-replicated to multiple publish instances. Follow this page to learn how to configure author and publish for AEM Screens.","","","",""
"help/user-guide/adobe-analytics-integration-aem-screens.md","Adobe Analytics Integration with AEM Screens","Follow this page to learn about out of the box integration of AEM Screens with Adobe Analytics and provides you with a proof of play.","","","",""
"help/user-guide/configuring-adobe-analytics-aem-screens.md","Configuring Adobe Analytics with AEM Screens","Follow this section to learn more about sequencing and sending custom events using Offline Adobe Analytics ","","","",""
"help/user-guide/creating-a-screens-project.md","Creating and Managing Projects","Follow this page to learn about creating a new Screens project.","","","",""
"help/user-guide/managing-channels.md","Creating and Managing Channels","Follow this page to learn about creating and managing channels. It also explains channel dashboard and editing content for a channel.","","","",""
"help/user-guide/managing-displays.md","Creating and Managing Displays","Follow this page to learn about creating a new display and device config. Additionally, learn about the display dashboard.","","","",""
"help/user-guide/managing-locations.md","Creating and Managing Locations","Follow this page to learn about creating/managing locations.","","","",""
"help/user-guide/managing-schedules.md","Creating and Managing Schedules","Follow this page to learn about Schedules, that lets you organize channels into re-usable groups so that you do not have to repeat their assignment individually for each display on which you want to show your content.","","","",""
"help/user-guide/managing-devices.md","Managing Devices","This page describes device assignment.","","","",""
"help/user-guide/channel-assignment-latest-fp.md","Channel Assignment - Latest FP","Follow this page to learn about Channel Assignment and DayParting.","","","",""
"help/user-guide/channel-assignment.md","Channel Assignment","Follow this page to learn about Channel Assignment and Day-parting.","","","",""
"help/user-guide/text-overlay.md","Text Overlay","Text Overlay is a feature available in AEM Screens that allows you to create a compelling experience in a Sequence Channel by providing a title or a description overlaid on top of an image. Follow this page to learn more.","","","",""
"help/user-guide/bulk-offline-update.md","Bulk Offline Update","Follow this page to learn how you can update all the channels in bulk.","","","",""
"help/user-guide/screens-notifications-service.md","AEM Screens Notifications Service","Follow this page to learn more about how you can monitor device activity.","","","",""
"help/user-guide/experience-fragments-in-screens.md","Using Experience Fragments","Follow this page to learn about using Experience Fragments in AEM Screens. ","","","",""
"help/user-guide/asset-level-scheduling.md","Asset Level Activation","Follow this page to learn how to activate a specific asset in a channel for a scheduled time frame in the player's local timezone.","","","",""
"help/user-guide/channel-level-activation.md","Channel Level Activation - Single Event Playback","Follow this guide to understand channel level activation using single event playback.","","","",""
"help/user-guide/managing-livecopy.md","Creating and Managing a Live Copy","This page describes creating and managing Live Copies of channels.","","","",""
"help/user-guide/creating-a-video-padding-workflow.md","Creating a Video Padding Workflow","Follow this page to learn about creating a video padding in the workflow for your assets.","","","",""
"help/user-guide/adding-components-to-a-channel.md","Adding Components to a Channel","Follow this page to learn more about adding components to channels in an AEM Screens project.","","","",""
"help/user-guide/embedded-sequences.md","Embedded Sequences","Follow this page to learn about embedded sequences for channels that allows the user to add components in the parent channel and also to re-use the content from a different channel and embed it into the parent channel.","","","",""
"help/user-guide/multi-zone-layout-aem-screens.md","Multi-zone Layout","Multi-zone Layout allows you to create multiple zone content and use a variety of assets such as videos, images and text that can be combined in a single screen. Follow this page to learn more.","","","",""
"help/user-guide/generating-renditions.md","Video Renditions","Follow this page to learn about generating full HD renditions for your Screens project.","","","",""
"help/user-guide/dynamic-embedded-sequences.md","Using Dynamic Embedded Sequence","Follow this page to learn how to implement Dynamic Embedded Sequences in your AEM Screens project.","","","",""
"help/user-guide/channel-level-image-playback.md","Channel Level Bulk Image Playback Duration","This page describes how you can edit the playback duration of a specific image component.","","","",""
"help/user-guide/using-command-sync.md","Using Command Sync","Follow this page to learn about how to use Command Sync.","","","",""
"help/user-guide/authoring-data-triggers.md","Authoring with Data Triggers","Follow this page to learn how to author with data triggers.","","","",""
"help/user-guide/voice-recognition.md","Voice Recognition in AEM Screens","The page describes voice recognition feature in AEM Screens.","","","",""
"help/user-guide/content-assignment-report.md","Content Assignment Report","This page describes the downloading and usage of Content  Assignment Report.","","","",""
"help/user-guide/on-demand-content.md","On-Demand Content Update","Follow this page to learn about On-Demand Content Update.  ","","","",""
"help/user-guide/content-update-as-a-service.md","Content Update As a Service","Follow this page to learn about Content Update As a Service.","","","",""
"help/user-guide/launches.md","Content Update using Screens Launch","Content authors can create future version of the channel(s), known as Launch and further setting live date for this launch allows content to be live in devices or players.","","","",""
"help/user-guide/emergency-channel.md","Emergency Channel","Follow this use case example to learn about creating and managing an emergency channel that the content author can switch from a sequence channel in case of a precondition.","","","",""
"help/user-guide/local-temperature-activation.md","Travel Center Temperature Activation","The following use case demonstrates the usage of travel center local temperature activation based on the values populated in Google Sheets.","","","",""
"help/user-guide/hospitality-reservation-activation.md","Hospitality Reservation Activation","The following use case demonstrates the usage of hospital reservation activation based on the values populated in Google Sheets.","","","",""
"help/user-guide/retail-inventory-activation.md","Retail Inventory Targeted Activation","This Use Case showcases the retail inventory stock for three different colored sweatshirts. Depending on the number of sweatshirts available in stock that is recorded in Google Sheets, the image (red, green, or blue sweatshirt) with highest number is displayed on the screen.","","","",""
"help/user-guide/applying-transitions.md","Applying Transitions","Follow this page to learn how to apply transitions to your Screens projects.","","","",""
"help/user-guide/multizone-to-singlezone.md","MultiZone to SingleZone Transitions Use Case","Follow this page to learn about MultiZone to SingleZone Transitions use case.","","","",""
"help/user-guide/single-use-takeover-channel.md","Single Use TakeOver Channel","Follow this Use Case for creating a Single Use TakeOver Channel.","","","",""
"help/user-guide/perpetual-takeover-channel.md","Perpetual TakeOver Channel","Follow this Use Case for creating a Perpetual TakeOver Channel.","","","",""
"help/user-guide/rest-api.md","REST APIs","AEM Screens provides a simple RESTful API that follows the Siren specification. Follow this page to learn how to navigate the content structure and send commands to devices in the environment.","","","",""
"help/user-guide/developing-custom-component-tutorial-develop.md","Developing a Custom Component for AEM Screens","The following tutorial walks through the steps to create a custom component for AEM Screens. AEM Screens reuses many existing design patterns and technologies of other AEM products. The tutorial highlights differences and special considerations when developing for AEM Screens.","","","",""
"help/user-guide/offline-channels.md","Offline Channels","The AEM Screens player provides offline support for channels by leveraging the ContentSync technology. Follow this page to learn more about update handlers and enabling offline configuration for a channel.  ","","","",""
"help/user-guide/extending-component-tutorial-develop.md","Extending an AEM Screens Component","The following tutorial walks through the steps and best practices for extending out of the box AEM Screens components. The Image component is extended to add an authorable text overlay.","","","",""
"help/user-guide/creating-components.md","Creating Components","AEM components are used to hold, format, and render the content made available on your webpages. Follow this page to learn about authoring channels and rendering components.","","","",""
"help/user-guide/embedding-react-app.md","Embedding a REACT application using the AEM SPA Editor and Integrating with AEM Screens Analytics","Follow this page to learn how to embed an interactive single page application using REACT (or Angular) using the AEM SPA editor that can be configured by business professionals in AEM and also how to integrate your interactive application with offline Adobe Analytics.","","","",""
"help/user-guide/configuring-context-hub.md","Configuring ContextHub in AEM Screens","Follow this page to learn about ContextHub in the targeting engine to define data store for the purpose of data trigger content change.","","","",""
"help/user-guide/creating-custom-templates-multizone-layouts.md","Creating Custom Templates in MultiZone Layouts","Follow this page to learn about creating custom templates in MultiZone layouts.","","","",""
"help/user-guide/custom-branding-text-overlays.md","Applying Custom Branding and Styling for Text Overlays","Follow this page to learn how to apply custom branding and styling for Text Overlays.","","","",""
"help/user-guide/aem-screens-faqs.md","AEM Screens FAQs","Follow this page to get answers to FAQs related to an AEM Screens project.","","","",""
"help/user-guide/monitoring-screens.md","Troubleshooting Device Control Center","Follow this page to monitor and troubleshoot performance for your Screens player activity and device usingtheDevice dashboard.","","","",""
"help/user-guide/troubleshoot-videos.md","Video Playback Configuration and Troubleshooting","","","","",""
"help/user-guide/release-notes-fp-202011.md","Release Notes for Feature Pack 202011","The page describes Release Notes for Feature Pack 202011.","","","",""
"help/user-guide/release-notes-fp-202008.md","Release Notes for Feature Pack 202008","The page describes Release Notes for Feature Pack 202008.","","","",""
"help/user-guide/release-notes-fp-202004.md","Release Notes for Feature Pack 202004","Follow this page to get information for AEM Screens Feature Pack 202004 released on April 20, 2020.","","","",""
"help/user-guide/release-notes-fp-202001.md","Release Notes for Feature Pack 202001","Follow this page to get information for AEM Screens Feature Pack 202001 released on January 31, 2020.","","","",""
"help/user-guide/release-notes-fp-201909.md","Release Notes for Feature Pack 201909","Follow this page to get information for AEM Screens Feature Pack 201909 released on July 31, 2019.","","","",""
"help/user-guide/release-notes-fp-201907.md","Release Notes for Feature Pack 201907","Follow this page to get information for AEM Screens Feature Pack 201907 released on July 31, 2019.","","","",""
"help/user-guide/screens-release-notes-fp-201905.md","Release Notes for Feature Pack 201905","Follow this page to get information for AEM Screens Feature Pack 201905 released on May 16, 2019.","","","",""
"help/user-guide/release-notes-fp-201812.md","Release Notes for Feature Pack 201812","Follow this page to get information for AEM Screens Feature Pack 201812 released on January 16, 2019.","","","",""
"help/user-guide/screens-release-notes.md","Release Notes for Feature Pack 201809","Follow this page to get information for AEM Screens Feature Pack 201809 released on October 01, 2018.","","","",""
